"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1986","User login with wrong email or password","LMS system","Sat May 16 10:16:20 UTC 2026","passed","Sat May 16 10:16:22 UTC 2026","Authorization","Authentication","",""
"","11246","User login with correct email and password","LMS system","Sat May 16 10:16:37 UTC 2026","passed","Sat May 16 10:16:49 UTC 2026","Authorization","Authentication","",""
"","2431","Registration with correct email, username and password","LMS system","Sat May 16 10:16:50 UTC 2026","passed","Sat May 16 10:16:53 UTC 2026","Registration","Authentication","",""
"","2149","User login with wrong email or password","LMS system","Sat May 16 10:16:30 UTC 2026","passed","Sat May 16 10:16:32 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of dashboard page","LMS system","Sat May 16 10:16:53 UTC 2026","broken","Sat May 16 10:16:53 UTC 2026","Dashboard","Dashboard","",""
"","2183","Registration with correct email, username and password","LMS system","Sat May 16 10:16:49 UTC 2026","passed","Sat May 16 10:16:51 UTC 2026","Registration","Authentication","",""
"","1622","User login with wrong email or password","LMS system","Sat May 16 10:16:22 UTC 2026","passed","Sat May 16 10:16:24 UTC 2026","Authorization","Authentication","",""
"","2038","User login with wrong email or password","LMS system","Sat May 16 10:16:25 UTC 2026","passed","Sat May 16 10:16:27 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of dashboard page","LMS system","Sat May 16 10:16:53 UTC 2026","broken","Sat May 16 10:16:53 UTC 2026","Dashboard","Dashboard","",""
"","0","Edit course","LMS system","Sat May 16 10:16:53 UTC 2026","broken","Sat May 16 10:16:53 UTC 2026","Courses","Courses","",""
"","1433","User login with wrong email or password","LMS system","Sat May 16 10:16:16 UTC 2026","passed","Sat May 16 10:16:17 UTC 2026","Authorization","Authentication","",""
"","1806","User login with wrong email or password","LMS system","Sat May 16 10:16:14 UTC 2026","passed","Sat May 16 10:16:16 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of empty courses list","LMS system","Sat May 16 10:16:52 UTC 2026","broken","Sat May 16 10:16:52 UTC 2026","Courses","Courses","",""
"","2340","User login with wrong email or password","LMS system","Sat May 16 10:16:20 UTC 2026","passed","Sat May 16 10:16:23 UTC 2026","Authorization","Authentication","",""
"","0","Edit course","LMS system","Sat May 16 10:16:53 UTC 2026","broken","Sat May 16 10:16:53 UTC 2026","Courses","Courses","",""
"","3876","Navigation from login page to registration page","LMS system","Sat May 16 10:16:40 UTC 2026","passed","Sat May 16 10:16:44 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of empty courses list","LMS system","Sat May 16 10:16:54 UTC 2026","broken","Sat May 16 10:16:54 UTC 2026","Courses","Courses","",""
"","1755","User login with wrong email or password","LMS system","Sat May 16 10:16:25 UTC 2026","passed","Sat May 16 10:16:27 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of dashboard page","LMS system","Sat May 16 10:16:53 UTC 2026","broken","Sat May 16 10:16:53 UTC 2026","Dashboard","Dashboard","",""
"","4076","User login with correct email and password","LMS system","Sat May 16 10:16:28 UTC 2026","passed","Sat May 16 10:16:32 UTC 2026","Authorization","Authentication","",""
"","3353","User login with correct email and password","LMS system","Sat May 16 10:16:33 UTC 2026","passed","Sat May 16 10:16:36 UTC 2026","Authorization","Authentication","",""
"","1749","Navigation from login page to registration page","LMS system","Sat May 16 10:16:34 UTC 2026","passed","Sat May 16 10:16:35 UTC 2026","Authorization","Authentication","",""
"","1434","User login with wrong email or password","LMS system","Sat May 16 10:16:17 UTC 2026","passed","Sat May 16 10:16:19 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of empty courses list","LMS system","Sat May 16 10:16:52 UTC 2026","broken","Sat May 16 10:16:52 UTC 2026","Courses","Courses","",""
"","0","Create course","LMS system","Sat May 16 10:16:52 UTC 2026","broken","Sat May 16 10:16:52 UTC 2026","Courses","Courses","",""
"","0","Edit course","LMS system","Sat May 16 10:16:53 UTC 2026","broken","Sat May 16 10:16:53 UTC 2026","Courses","Courses","",""
"","0","Create course","LMS system","Sat May 16 10:16:52 UTC 2026","broken","Sat May 16 10:16:52 UTC 2026","Courses","Courses","",""
"","0","Create course","LMS system","Sat May 16 10:16:52 UTC 2026","broken","Sat May 16 10:16:52 UTC 2026","Courses","Courses","",""
"","2433","Registration with correct email, username and password","LMS system","Sat May 16 10:16:45 UTC 2026","passed","Sat May 16 10:16:48 UTC 2026","Registration","Authentication","",""
"","2019","Navigation from login page to registration page","LMS system","Sat May 16 10:16:36 UTC 2026","passed","Sat May 16 10:16:38 UTC 2026","Authorization","Authentication","",""
